WORD_ID,SENTENCE_ID,CHRON_ID,WORD,PART_OF_SPEECH,CONTENT_WORD,WORD_LENGTH,IA_AREA,IA_TOP,IA_BOTTOM,IA_LEFT,IA_RIGHT
1_5_31,1_2,31,attended,VERB,1,8,5940,208,274,250,340
1_5_32,1_2,32,it,PRON,0,2,2508,208,274,340,378
1_5_33,1_2,33,I,PRON,0,1,1386,208,274,378,399
1_5_34,1_2,34,have,VERB,1,4,3300,208,274,399,449
1_5_35,1_2,35,been,VERB,1,4,3366,208,274,449,500
1_5_36,1_2,36,asked,VERB,1,5,4488,208,274,500,568
1_5_37,1_2,37,both,DET,0,4,3432,208,274,568,620
1_5_38,1_2,38,by,ADP,0,2,1914,208,274,620,649
1_5_39,1_2,39,my,PRON,0,2,2046,208,274,649,680
1_5_40,1_2,40,friend,NOUN,1,6,4620,208,274,680,750
1_5_42,1_2,41,and,CONJ,0,3,2640,208,274,819,859
1_5_43,1_2,42,the,DET,0,3,4224,208,274,859,923
1_5_44,1_2,43,family,NOUN,1,6,6138,274,340,66,159
1_5_45,1_2,44,themselves,PRON,0,10,7788,274,340,159,277
1_5_46,1_2,45,to,ADP,0,2,2112,274,340,277,309
1_5_47,1_2,46,write,VERB,1,5,3960,274,340,309,369
1_5_48,1_2,47,an,DET,0,2,2046,274,340,369,400
1_5_49,1_2,48,account,NOUN,1,7,5214,274,340,400,479
1_5_50,1_2,49,of,ADP,0,2,1980,274,340,479,509
1_5_51,1_2,50,the,DET,0,3,2640,274,340,509,549
1_5_52,1_2,51,whole,ADJ,1,5,3960,274,340,549,609
1_5_53,1_2,52,story,NOUN,1,5,4554,274,340,609,678
1_5_54,1_3,53,This,DET,0,4,3894,274,340,678,737
1_5_55,1_3,54,we,PRON,0,2,2112,274,340,737,769
1_5_56,1_3,55,trust,VERB,1,5,4488,274,340,769,837
1_5_57,1_3,56,will,NOUN,1,4,5016,274,340,837,913
1_5_59,1_3,57,silence,NOUN,1,7,5214,340,406,210,289
1_5_60,1_3,58,the,DET,0,3,2640,340,406,289,329
1_5_61,1_3,59,sensational,ADJ,1,11,7986,340,406,329,450
1_5_62,1_3,60,rumours,NOUN,1,7,5214,340,406,450,529
1_5_63,1_3,61,which,DET,0,5,4026,340,406,529,590
1_5_64,1_3,62,still,ADV,1,5,3894,340,406,590,649
1_5_65,1_3,63,persist,VERB,1,7,5874,340,406,649,738
1_5_66,1_4,64,I,PRON,0,1,1386,340,406,738,759
1_5_67,1_4,65,will,NOUN,1,4,3300,340,406,759,809
1_5_68,1_4,66,therefore,ADV,1,9,8184,340,406,809,933
1_5_69,1_4,67,briefly,ADV,1,7,7176,406,475,66,170
1_5_70,1_4,68,set,VERB,1,3,2691,406,475,170,209
1_5_71,1_4,69,down,ADV,1,4,3450,406,475,209,259
1_5_72,1_4,70,the,DET,0,3,2760,406,475,259,299
1_5_73,1_4,71,circumstances,NOUN,1,13,9660,406,475,299,439
1_5_74,1_4,72,which,DET,0,5,4209,406,475,439,500
1_5_75,1_4,73,led,VERB,1,3,2691,406,475,500,539
1_5_76,1_4,74,to,ADP,0,2,2070,406,475,539,569
1_5_77,1_4,75,my,PRON,0,2,2139,406,475,569,600
1_5_78,1_4,76,being,VERB,1,5,4140,406,475,600,660
1_5_79,1_4,77,connected,VERB,1,9,6831,406,475,660,759
1_5_80,1_4,78,with,ADP,0,4,3450,406,475,759,809
1_5_81,1_4,79,the,DET,0,3,4416,406,475,809,873
1_5_82,1_4,80,affair,NOUN,1,6,6200,475,525,66,190
1_6_1,1_5,81,I,PRON,0,1,2107,93,142,66,109
1_6_2,1_5,82,had,VERB,1,3,2009,93,142,109,150
1_6_3,1_5,83,been,VERB,1,4,2450,93,142,150,200
1_6_4,1_5,84,invalided,VERB,1,9,4900,93,142,200,300
1_6_5,1_5,85,home,NOUN,1,4,2401,93,142,300,349
1_6_6,1_5,86,from,ADP,0,4,2450,93,142,349,399
1_6_7,1_5,87,the,DET,0,3,1960,93,142,399,439
1_6_8,1_5,88,Front,ADP,0,5,3381,93,142,439,508
1_6_9,1_5,89,and,CONJ,0,3,2450,93,142,508,558
1_6_10,1_5,90,after,ADP,0,5,3038,93,142,558,620
1_6_11,1_5,91,spending,VERB,1,8,4410,93,142,620,710
1_6_12,1_5,92,some,DET,0,4,2401,93,142,710,759
1_6_13,1_5,93,months,NOUN,1,6,3430,93,142,759,829
1_6_14,1_5,94,in,ADP,0,2,1519,93,142,829,860
1_6_15,1_5,95,a,DET,0,1,2156,93,142,860,904
1_6_16,1_5,96,rather,ADV,1,6,6138,142,208,67,160
1_6_17,1_5,97,depressing,ADJ,1,10,7260,142,208,160,270
1_6_18,1_5,98,Convalescent,ADJ,1,12,8514,142,208,270,399
1_6_19,1_5,99,Home,NOUN,1,4,3828,142,208,399,457
1_6_20,1_5,100,was,VERB,1,3,2772,142,208,457,499
1_6_21,1_5,101,given,VERB,1,5,4026,142,208,499,560
1_6_22,1_5,102,a,DET,0,1,1254,142,208,560,579
1_6_23,1_5,103,months,NOUN,1,6,5280,142,208,579,659
1_6_24,1_5,104,sick,NOUN,1,4,3366,142,208,659,710
1_6_25,1_5,105,leave,NOUN,1,5,4488,142,208,710,778
1_6_26,1_6,106,Having,VERB,1,6,4752,142,208,778,850
1_6_27,1_6,107,no,X,0,2,3498,142,208,850,903
1_6_28,1_6,108,near,ADP,0,4,4884,208,274,66,140
1_6_29,1_6,109,relations,NOUN,1,9,6534,208,274,140,239
1_6_30,1_6,110,or,CONJ,0,2,2046,208,274,239,270
1_6_31,1_6,111,friends,NOUN,1,7,5808,208,274,270,358
1_6_32,1_6,112,I,PRON,0,1,1386,208,274,358,379
1_6_33,1_6,113,was,VERB,1,3,2640,208,274,379,419
1_6_34,1_6,114,trying,VERB,1,6,4620,208,274,419,489
1_6_35,1_6,115,to,ADP,0,2,1980,208,274,489,519
1_6_36,1_6,116,make,VERB,1,4,3300,208,274,519,569
1_6_37,1_6,117,up,ADV,1,2,1980,208,274,569,599
1_6_38,1_6,118,my,PRON,0,2,1980,208,274,599,629
1_6_39,1_6,119,mind,NOUN,1,4,3300,208,274,629,679
1_6_40,1_6,120,what,DET,0,4,3300,208,274,679,729
1_6_41,1_6,121,to,ADP,0,2,1980,208,274,729,759
1_6_42,1_6,122,do,VERB,1,2,2508,208,274,759,797
1_6_43,1_6,123,when,CONJ,0,4,3498,208,274,797,850
1_6_44,1_6,124,I,PRON,0,1,1320,208,274,850,870
1_6_45,1_6,125,ran,VERB,1,3,4224,208,274,870,934
1_6_46,1_6,126,across,ADP,0,6,6138,274,340,66,159
1_6_47,1_6,127,John,NOUN,0,4,3366,274,340,159,210
1_6_48,1_6,128,Cavendish,NOUN,0,9,7128,274,340,210,318
1_6_49,1_7,129,I,PRON,0,1,1386,274,340,318,339
1_6_50,1_7,130,had,VERB,1,3,2706,274,340,339,380
1_6_51,1_7,131,seen,VERB,1,4,3300,274,340,380,430
1_6_52,1_7,132,very,ADV,1,4,3300,274,340,430,480
1_6_53,1_7,133,little,ADJ,1,6,4554,274,340,480,549
1_6_54,1_7,134,of,ADP,0,2,2046,274,340,549,580
1_6_55,1_7,135,him,PRON,0,3,2640,274,340,580,620
1_6_56,1_7,136,for,ADP,0,3,2640,274,340,620,660
1_6_57,1_7,137,some,DET,0,4,3234,274,340,660,709
1_6_58,1_7,138,years,NOUN,1,5,4554,274,340,709,778
1_6_59,1_8,139,Indeed,ADV,1,6,5280,274,340,778,858
1_6_60,1_8,140,I,PRON,0,1,2970,274,340,858,903
1_6_61,1_8,141,had,VERB,1,3,4416,340,409,66,130
1_6_62,1_8,142,never,ADV,1,5,4140,340,409,130,190
1_6_63,1_8,143,known,VERB,1,5,4140,340,409,190,250
1_6_64,1_8,144,him,PRON,0,3,2760,340,409,250,290
1_6_65,1_8,145,particularly,ADV,1,12,8901,340,409,290,419
1_6_66,1_8,146,well,ADV,1,4,4071,340,409,419,478
1_6_67,1_9,147,He,PRON,0,2,2139,340,409,478,509
1_6_68,1_9,148,was,VERB,1,3,2760,340,409,509,549
1_6_69,1_9,149,a,DET,0,1,1449,340,409,549,570
1_6_70,1_9,150,good,ADJ,1,4,3450,340,409,570,620
1_6_71,1_9,151,fifteen,NUM,0,7,5451,340,409,620,699
1_6_72,1_9,152,years,NOUN,1,5,4140,340,409,699,759
1_6_73,1_9,153,my,PRON,0,2,2139,340,409,759,790
1_6_74,1_9,154,senior,ADJ,1,6,5382,340,409,790,868
1_6_75,1_9,155,for,ADP,0,3,4554,340,409,868,934
1_6_76,1_9,156,one,NUM,0,3,3339,409,462,66,129
1_6_77,1_9,157,thing,NOUN,1,5,3604,409,462,129,197
1_6_78,1_9,158,though,CONJ,0,6,3869,409,462,197,270
1_6_79,1_9,159,he,PRON,0,2,1537,409,462,270,299
1_6_80,1_9,160,hardly,ADV,1,6,3763,409,462,299,370
1_6_81,1_9,161,looked,VERB,1,6,3710,409,462,370,440
1_6_82,1_9,162,his,PRON,0,3,2067,409,462,440,479
1_6_84,1_9,163,years,NOUN,1,5,4823,409,462,589,680
1_7_1,1_10,164,As,CONJ,0,2,2646,93,142,65,119
1_7_2,1_10,165,a,DET,0,1,1029,93,142,119,140
1_7_3,1_10,166,boy,NOUN,1,3,2303,93,142,140,187
1_7_4,1_10,167,though,CONJ,0,6,3969,93,142,187,268
1_7_5,1_10,168,I,PRON,0,1,1029,93,142,268,289
1_7_6,1_10,169,had,VERB,1,3,2009,93,142,289,330
1_7_7,1_10,170,often,ADV,1,5,2940,93,142,330,390
1_7_8,1_10,171,stayed,VERB,1,6,3430,93,142,390,460
1_7_9,1_10,172,at,ADP,0,2,1470,93,142,460,490
1_7_10,1_10,173,Styles,NOUN,0,6,3822,93,142,490,568
1_7_11,1_10,174,his,PRON,0,3,2009,93,142,568,609
1_7_12,1_10,175,mothers,NOUN,1,7,4410,93,142,609,699
1_7_13,1_10,176,place,NOUN,1,5,2940,93,142,699,759
1_7_14,1_10,177,in,ADP,0,2,1519,93,142,759,790
1_7_16,1_11,178,We,PRON,0,2,2744,93,142,857,913
1_7_17,1_11,179,had,VERB,1,3,4224,142,208,66,130
1_7_18,1_11,180,a,DET,0,1,1320,142,208,130,150
1_7_19,1_11,181,good,ADJ,1,4,3234,142,208,150,199
1_7_20,1_11,182,yarn,NOUN,1,4,3366,142,208,199,250
1_7_21,1_11,183,about,ADP,0,5,3894,142,208,250,309
1_7_22,1_11,184,old,NOUN,1,3,2640,142,208,309,349
1_7_23,1_11,185,times,NOUN,1,5,4554,142,208,349,418
1_7_24,1_11,186,and,CONJ,0,3,2772,142,208,418,460
1_7_25,1_11,187,it,PRON,0,2,1914,142,208,460,489
1_7_26,1_11,188,ended,VERB,1,5,4026,142,208,489,550
1_7_27,1_11,189,in,ADP,0,2,1980,142,208,550,580
1_7_28,1_11,190,his,PRON,0,3,2574,142,208,580,619
1_7_29,1_11,191,inviting,VERB,1,8,5940,142,208,619,709
1_7_30,1_11,192,me,PRON,0,2,1980,142,208,709,739
1_7_31,1_11,193,down,ADV,1,4,3300,142,208,739,789
1_7_32,1_11,194,to,ADP,0,2,2046,142,208,789,820
1_7_33,1_11,195,Styles,NOUN,0,6,6138,142,208,820,913
1_7_34,1_11,196,to,ADP,0,2,3618,208,275,65,119
1_7_35,1_11,197,spend,VERB,1,5,4020,208,275,119,179
1_7_36,1_11,198,my,PRON,0,2,2077,208,275,179,210
1_7_37,1_11,199,leave,NOUN,1,5,3953,208,275,210,269
1_7_38,1_11,200,there,ADV,0,5,4690,208,275,269,339
1_7_39,1_12,201,The,DET,0,3,3350,208,275,339,389
1_7_40,1_12,202,mater,NOUN,1,5,4020,208,275,389,449
1_7_41,1_12,203,will,NOUN,1,4,3350,208,275,449,499
1_7_42,1_12,204,be,VERB,1,2,2010,208,275,499,529
1_7_43,1_12,205,delighted,ADJ,1,9,6700,208,275,529,629
1_7_44,1_12,206,to,ADP,0,2,2010,208,275,629,659
1_7_45,1_12,207,see,VERB,1,3,2680,208,275,659,699
1_7_46,1_12,208,you,PRON,0,3,2747,208,275,699,740
1_7_48,1_12,209,all,DET,0,3,4095,275,340,66,129
1_7_49,1_12,210,those,DET,0,5,3900,275,340,129,189
1_7_50,1_12,211,years,NOUN,1,5,5200,275,340,189,269
1_7_51,1_12,212,he,PRON,0,2,1950,275,340,269,299
1_7_52,1_12,213,added,VERB,1,5,4550,275,340,299,369
1_7_53,1_13,214,Your,PRON,0,4,3900,275,340,369,429
1_7_54,1_13,215,mother,NOUN,1,6,4615,275,340,429,500
1_7_55,1_13,216,keeps,VERB,1,5,3835,275,340,500,559
1_7_56,1_13,217,well,ADV,1,4,4550,275,340,559,629
1_7_57,1_13,218,I,PRON,0,1,1300,275,340,629,649
1_7_58,1_13,219,asked,VERB,1,5,4550,275,340,649,719
1_7_59,1_14,220,Oh,X,0,2,3120,275,340,719,767
1_7_60,1_14,221,yes,X,0,3,3315,275,340,767,818
1_7_61,1_15,222,I,PRON,0,1,2925,275,340,818,863
1_7_62,1_15,223,suppose,VERB,1,7,7107,340,409,66,169
1_7_63,1_15,224,you,PRON,0,3,2829,340,409,169,210
1_7_64,1_15,225,know,VERB,1,4,3450,340,409,210,260
1_7_65,1_15,226,that,DET,0,4,3381,340,409,260,309
1_7_66,1_15,227,she,PRON,0,3,2760,340,409,309,349
1_7_67,1_15,228,has,VERB,1,3,2760,340,409,349,389
1_7_68,1_15,229,married,ADJ,1,7,5589,340,409,389,470
1_7_69,1_15,230,again,ADV,1,5,5451,340,409,470,549
1_7_70,1_16,231,I,PRON,0,1,1380,340,409,549,569
1_7_71,1_16,232,am,VERB,1,2,2139,340,409,569,600
1_7_72,1_16,233,afraid,ADJ,1,6,4830,340,409,600,670
1_7_73,1_16,234,I,PRON,0,1,1311,340,409,670,689
1_7_74,1_16,235,showed,VERB,1,6,4830,340,409,689,759
1_7_75,1_16,236,my,PRON,0,2,2139,340,409,759,790
1_7_76,1_16,237,surprise,NOUN,1,8,7797,340,409,790,903
1_7_77,1_16,238,rather,ADV,1,6,4929,409,462,67,160
1_7_78,1_16,239,plainly,ADV,1,7,5830,409,462,160,270
1_8_1,1_17,240,Mrs,NOUN,1,3,3577,93,142,65,138
1_8_2,1_17,241,Cavendish,NOUN,0,9,5341,93,142,138,247
1_8_3,1_17,242,who,PRON,0,3,2058,93,142,247,289
1_8_4,1_17,243,had,VERB,1,3,1960,93,142,289,329
1_8_5,1_17,244,married,ADJ,1,7,3969,93,142,329,410
1_8_6,1_17,245,Johns,NOUN,0,5,3381,93,142,410,479
1_8_7,1_17,246,father,NOUN,1,6,3430,93,142,479,549
1_8_8,1_17,247,when,CONJ,0,4,2499,93,142,549,600
1_8_9,1_17,248,he,PRON,0,2,1421,93,142,600,629
1_8_10,1_17,249,was,VERB,1,3,1960,93,142,629,669
1_8_11,1_17,250,a,DET,0,1,980,93,142,669,689
1_8_12,1_17,251,widower,NOUN,1,7,3920,93,142,689,769
1_8_13,1_17,252,with,ADP,0,4,2450,93,142,769,819
1_8_14,1_17,253,two,NUM,0,3,3136,93,142,819,883
1_8_15,1_17,254,sons,NOUN,1,4,5412,142,208,66,148
1_8_16,1_17,255,had,VERB,1,3,2772,142,208,148,190
1_8_17,1_17,256,been,VERB,1,4,3300,142,208,190,240
1_8_18,1_17,257,a,DET,0,1,1320,142,208,240,260
1_8_19,1_17,258,handsome,ADJ,1,8,5874,142,208,260,349
1_8_20,1_17,259,woman,NOUN,1,5,4026,142,208,349,410
1_8_21,1_17,260,of,ADP,0,2,1914,142,208,410,439
1_8_23,1_17,261,as,CONJ,0,2,1980,142,208,549,579
1_8_24,1_17,262,I,PRON,0,1,1386,142,208,579,600
1_8_25,1_17,263,remembered,VERB,1,10,7260,142,208,600,710
1_8_26,1_17,264,her,PRON,0,3,3168,142,208,710,758
1_8_27,1_18,265,She,PRON,0,3,2706,142,208,758,799
1_8_28,1_18,266,certainly,ADV,1,9,8250,142,208,799,924
1_8_29,1_18,267,could,VERB,1,5,5544,208,274,66,150
1_8_30,1_18,268,not,PRT,0,3,2574,208,274,150,189
1_8_31,1_18,269,be,VERB,1,2,1980,208,274,189,219
1_8_32,1_18,270,a,DET,0,1,1386,208,274,219,240
1_8_33,1_18,271,day,NOUN,1,3,2640,208,274,240,280
1_8_34,1_18,272,less,ADV,1,4,3234,208,274,280,329
1_8_35,1_18,273,than,CONJ,0,4,3366,208,274,329,380
1_8_36,1_18,274,seventy,NUM,0,7,5280,208,274,380,460
1_8_37,1_18,275,now,ADV,1,3,3168,208,274,460,508
1_8_38,1_19,276,I,PRON,0,1,1452,208,274,508,530
1_8_39,1_19,277,recalled,VERB,1,8,5940,208,274,530,620
1_8_40,1_19,278,her,PRON,0,3,2640,208,274,620,660
1_8_41,1_19,279,as,CONJ,0,2,1914,208,274,660,689
1_8_42,1_19,280,an,DET,0,2,2046,208,274,689,720
1_8_43,1_19,281,energetic,ADJ,1,9,8580,208,274,720,850
1_8_44,1_19,282,autocratic,ADJ,1,10,8844,274,340,66,200
1_8_45,1_19,283,personality,NOUN,1,11,8448,274,340,200,328
1_8_46,1_19,284,somewhat,ADV,1,8,6006,274,340,328,419
1_8_47,1_19,285,inclined,ADJ,1,8,5940,274,340,419,509
1_8_48,1_19,286,to,ADP,0,2,1980,274,340,509,539
1_8_49,1_19,287,charitable,ADJ,1,10,7260,274,340,539,649
1_8_50,1_19,288,and,CONJ,0,3,2706,274,340,649,690
1_8_51,1_19,289,social,ADJ,1,6,4554,274,340,690,759
1_8_52,1_19,290,notoriety,NOUN,1,9,8646,274,340,759,890
1_8_53,1_19,291,with,ADP,0,4,4950,340,406,65,140
1_8_54,1_19,292,a,DET,0,1,1320,340,406,140,160
1_8_55,1_19,293,fondness,NOUN,1,8,5874,340,406,160,249
1_8_56,1_19,294,for,ADP,0,3,2706,340,406,249,290
1_8_57,1_19,295,opening,NOUN,1,7,5280,340,406,290,370
1_8_58,1_19,296,bazaars,NOUN,1,7,5214,340,406,370,449
1_8_59,1_19,297,and,CONJ,0,3,2706,340,406,449,490
1_8_60,1_19,298,playing,VERB,1,7,5214,340,406,490,569
1_8_61,1_19,299,the,DET,0,3,2640,340,406,569,609
1_8_62,1_19,300,Lady,NOUN,1,4,3366,340,406,609,660
1_8_63,1_19,301,Bountiful,ADJ,1,9,7128,340,406,660,768
1_8_64,1_20,302,She,PRON,0,3,2706,340,406,768,809
1_8_65,1_20,303,was,VERB,1,3,2640,340,406,809,849
1_8_66,1_20,304,a,DET,0,1,2970,340,406,849,894
1_8_67,1_20,305,most,ADV,1,4,4884,406,472,65,139
1_8_68,1_20,306,generous,ADJ,1,8,5940,406,472,139,229
1_8_69,1_20,307,woman,NOUN,1,5,4554,406,472,229,298
1_8_70,1_20,308,and,CONJ,0,3,2772,406,472,298,340
1_8_71,1_20,309,possessed,VERB,1,9,6600,406,472,340,440
1_8_72,1_20,310,a,DET,0,1,1320,406,472,440,460
1_8_73,1_20,311,considerable,ADJ,1,12,8514,406,472,460,589
1_8_74,1_20,312,fortune,NOUN,1,7,5280,406,472,589,669
1_8_75,1_20,313,of,ADP,0,2,2046,406,472,669,700
1_8_76,1_20,314,her,PRON,0,3,2640,406,472,700,740
1_8_77,1_20,315,own,DET,0,3,3168,406,472,740,788
1_8_78,1_21,316,Their,PRON,0,5,5676,406,472,788,874
1_8_80,1_21,317,Styles,NOUN,0,6,4899,472,541,238,309
1_8_81,1_21,318,Court,NOUN,0,5,4761,472,541,309,378
1_8_82,1_21,319,had,VERB,1,3,2898,472,541,378,420
1_8_83,1_21,320,been,VERB,1,4,3450,472,541,420,470
1_8_84,1_21,321,purchased,VERB,1,9,6900,472,541,470,570
1_8_85,1_21,322,by,ADP,0,2,2001,472,541,570,599
1_8_86,1_21,323,Mr,NOUN,1,2,2691,472,541,599,638
1_8_87,1_21,324,Cavendish,NOUN,0,9,7038,472,541,638,740
1_8_88,1_21,325,early,ADV,1,5,4140,472,541,740,800
1_8_89,1_21,326,in,ADP,0,2,2001,472,541,800,829
1_8_90,1_21,327,their,PRON,0,5,5865,472,541,829,914
1_8_91,1_21,328,married,ADJ,1,7,5250,541,591,65,170
1_8_92,1_21,329,life,NOUN,1,4,4000,541,591,170,250
1_9_1,1_22,330,He,PRON,0,2,2646,93,142,65,119
1_9_2,1_22,331,had,VERB,1,3,2009,93,142,119,160
1_9_3,1_22,332,been,VERB,1,4,2450,93,142,160,210
1_9_4,1_22,333,completely,ADV,1,10,5390,93,142,210,320
1_9_5,1_22,334,under,ADP,0,5,2940,93,142,320,380
1_9_6,1_22,335,his,PRON,0,3,1911,93,142,380,419
1_9_7,1_22,336,wifes,NOUN,1,5,3430,93,142,419,489
1_9_8,1_22,337,ascendancy,NOUN,1,10,5831,93,142,489,608
1_9_9,1_22,338,so,ADV,1,2,1519,93,142,608,639
1_9_10,1_22,339,much,DET,0,4,2499,93,142,639,690
1_9_11,1_22,340,so,ADV,1,2,1421,93,142,690,719
1_9_12,1_22,341,that,DET,0,4,2891,93,142,719,778
1_9_13,1_22,342,on,ADP,0,2,1568,93,142,778,810
1_9_14,1_22,343,dying,VERB,1,5,3332,93,142,810,878
1_9_15,1_22,344,he,PRON,0,2,2695,93,142,878,933
1_9_16,1_22,345,left,VERB,1,4,4818,142,208,66,139
1_9_17,1_22,346,the,DET,0,3,2640,142,208,139,179
1_9_18,1_22,347,place,NOUN,1,5,3960,142,208,179,239
1_9_19,1_22,348,to,ADP,0,2,1980,142,208,239,269
1_9_20,1_22,349,her,PRON,0,3,2706,142,208,269,310
1_9_21,1_22,350,for,ADP,0,3,2640,142,208,310,350
1_9_22,1_22,351,her,PRON,0,3,2640,142,208,350,390
1_9_23,1_22,352,lifetime,NOUN,1,8,6468,142,208,390,488
1_9_24,1_22,353,as,CONJ,0,2,2046,142,208,488,519
1_9_25,1_22,354,well,ADV,1,4,3300,142,208,519,569
1_9_26,1_22,355,as,CONJ,0,2,1980,142,208,569,599
1_9_27,1_22,356,the,DET,0,3,2640,142,208,599,639
1_9_28,1_22,357,larger,ADJ,1,6,4686,142,208,639,710
1_9_29,1_22,358,part,NOUN,1,4,3234,142,208,710,759
1_9_30,1_22,359,of,ADP,0,2,2046,142,208,759,790
1_9_31,1_22,360,his,PRON,0,3,2574,142,208,790,829
1_9_32,1_22,361,income,NOUN,1,6,6732,142,208,829,931
1_9_33,1_22,362,an,DET,0,2,3564,208,274,66,120
1_9_34,1_22,363,arrangement,NOUN,1,11,7854,208,274,120,239
1_9_35,1_22,364,that,DET,0,4,3300,208,274,239,289
1_9_36,1_22,365,was,VERB,1,3,2640,208,274,289,329
1_9_37,1_22,366,distinctly,ADV,1,10,7326,208,274,329,440
1_9_38,1_22,367,unfair,ADJ,1,6,4554,208,274,440,509
1_9_39,1_22,368,to,ADP,0,2,1980,208,274,509,539
1_9_40,1_22,369,his,PRON,0,3,2640,208,274,539,579
1_9_41,1_22,370,two,NUM,0,3,2640,208,274,579,619
1_9_42,1_22,371,sons,NOUN,1,4,3894,208,274,619,678
1_9_43,1_23,372,Their,PRON,0,5,4092,208,274,678,740
1_9_44,1_23,373,stepmother,NOUN,1,10,9900,208,274,740,890
1_9_45,1_23,374,however,ADV,1,7,7392,274,340,66,178
1_9_46,1_23,375,had,VERB,1,3,2772,274,340,178,220
1_9_47,1_23,376,always,ADV,1,6,4554,274,340,220,289
1_9_48,1_23,377,been,VERB,1,4,3300,274,340,289,339
1_9_49,1_23,378,most,ADV,1,4,3300,274,340,339,389
1_9_50,1_23,379,generous,ADJ,1,8,5940,274,340,389,479
1_9_51,1_23,380,to,ADP,0,2,1980,274,340,479,509
1_9_52,1_23,381,them,PRON,0,4,3894,274,340,509,568
1_9_53,1_23,382,indeed,ADV,1,6,5214,274,340,568,647
1_9_54,1_23,383,they,PRON,0,4,3432,274,340,647,699
1_9_55,1_23,384,were,VERB,1,4,3300,274,340,699,749
1_9_56,1_23,385,so,ADV,1,2,1980,274,340,749,779
1_9_57,1_23,386,young,ADJ,1,5,4026,274,340,779,840
1_9_58,1_23,387,at,ADP,0,2,1914,274,340,840,869
1_9_59,1_23,388,the,DET,0,3,4224,274,340,869,933
1_9_60,1_23,389,time,NOUN,1,4,5106,340,409,65,139
1_9_61,1_23,390,of,ADP,0,2,2070,340,409,139,169
1_9_62,1_23,391,their,PRON,0,5,4209,340,409,169,230
1_9_63,1_23,392,fathers,NOUN,1,7,6210,340,409,230,320
1_9_64,1_23,393,remarriage,NOUN,1,10,7521,340,409,320,429
1_9_65,1_23,394,that,DET,0,4,3450,340,409,429,479
1_9_66,1_23,395,they,PRON,0,4,3519,340,409,479,530
1_9_67,1_23,396,always,ADV,1,6,4761,340,409,530,599
1_9_68,1_23,397,thought,NOUN,1,7,5520,340,409,599,679
1_9_69,1_23,398,of,ADP,0,2,2139,340,409,679,710
1_9_70,1_23,399,her,PRON,0,3,2760,340,409,710,750
1_9_71,1_23,400,as,CONJ,0,2,2001,340,409,750,779
1_9_72,1_23,401,their,PRON,0,5,4209,340,409,779,840
1_9_73,1_23,402,own,DET,0,3,4416,340,409,840,904
1_9_74,1_23,403,mother,NOUN,1,6,5459,409,462,65,168
1_9_75,1_24,404,Lawrence,NOUN,0,8,5247,409,462,168,267
1_9_76,1_24,405,the,DET,0,3,2226,409,462,267,309
1_9_77,1_24,406,younger,ADJ,1,7,4717,409,462,309,398
1_9_78,1_24,407,had,VERB,1,3,2226,409,462,398,440
1_9_79,1_24,408,been,VERB,1,4,2650,409,462,440,490
